num,test_name,is_consistent,blame,count,dof,mean_X,Sigma_X,probable_error,est_chunks,smallest_increment,recommended_resolution,upper_factory_limit,lower_factory_limit,usefulness,max_measurement_increment,min_measurement_increment,upper_natural_process_limit,lower_natural_process_limit,upper_range_limit
47,WIFI_TX_EVM_AC_MCS8_CH1_BW20,False,[X,mR],50,30.1,-32.077034,0.96878528,0.65344567,8926,0.0004,1,,,0,1.30689134,0.13068913,-29.1706781597916,-34.9833898402084,3.57045814969605
48,WIFI_TX_EVM_AC_MCS8_CH100_BW20,False,[X,mR],50,30.1,-40.298796,1.21219967,0.81762868,44675,0.0001,1,,,0,1.63525735,0.16352574,-36.6621969986973,-43.9353950013026,4.4675618731003
49,WIFI_TX_EVM_AC_MCS8_CH165_BW20,False,[X,mR],50,30.1,-37.918816,1.2187111,0.82202064,22457,0.0002,1,,,0,1.64404128,0.16440413,-34.2626826956144,-41.5749493043856,4.49155976443769
50,WIFI_TX_EVM_AC_MCS8_CH36_BW20,False,[X,mR],50,30.1,-38.654956,1.29643581,0.87444595,6825,0.0007,1,,,0,1.74889191,0.17488919,-34.7656485749023,-42.5442634250977,4.77801417173252
51,WIFI_TX_EVM_AC_MCS8_CH6_BW20,False,[X,mR],50,30.1,-34.163834,1.65259263,1.11467373,7613,0.0008,1,,,0,2.22934746,0.22293475,-29.2060561016066,-39.1216118983934,6.09063014817629
52,WIFI_TX_EVM_B_11_CH1_BW20,False,[X,mR],50,30.1,-34.91247,0.90329281,0.609271,4755,0.0007,1,,,0,1.218542,0.1218542,-32.2025915805471,-37.6223484194529,3.32908563829787
53,WIFI_TX_EVM_B_11_CH11_BW20,False,[X,mR],50,30.1,-35.053396,1.35867528,0.91642648,2781,0.0018,1,,,0,1.83285295,0.1832853,-30.9773701641337,-39.1294218358663,5.0073977393617
54,WIFI_TX_EVM_B_11_CH6_BW20,False,[X,mR],50,30.1,-37.413958,1.03970365,0.70128011,6386,0.0006,1,,,0,1.40256022,0.14025602,-34.2948470577508,-40.5330689422493,3.83182779255319
55,WIFI_TX_EVM_G_54_CH1_BW20,False,[X,mR],50,30.1,-32.086372,0.98863077,0.66683146,12145,0.0003,1,,,0,1.33366291,0.13336629,-29.1204796856274,-35.0522643143726,3.64359870820668
56,WIFI_TX_EVM_G_54_CH11_BW20,False,[X,mR],50,30.1,-36.524548,1.25382653,0.84570599,6601,0.0007,1,,,0,1.69141199,0.1691412,-32.7630684081633,-40.2860275918367,4.62097767857143
57,WIFI_TX_EVM_G_54_CH6_BW20,False,[X,mR],50,30.1,-33.859154,1.26332139,0.85211028,2450,0.0019,1,,,0,1.70422056,0.17042206,-30.0691898228398,-37.6491181771602,4.65597099164134
